date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:09	348315/348315	---M--	200	added ('OK')	image/jpeg	date:Wed,%2001%20Jan%202020%2016:39:12%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/pricing_bg.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/pricing_bg.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:09	1841/1841	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2005:23:34%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/cart-2.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/cart-2.png	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:09	2024/2024	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Jan%202020%2006:30:34%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/search-2.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/search-2.png	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:10	70798/70798	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:20:12%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/category-1.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/category-1.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:11	568214/568214	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Jan%202020%2009:27:08%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/slider-4.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/slider-4.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:12	112807/112807	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:20:54%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/category-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/category-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:12	125966/125966	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:21:16%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/category-3.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/category-3.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:13	146724/146724	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:21:40%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/category-4.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/category-4.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:14	137697/137697	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:22:06%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/category-5.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/category-5.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:14	136357/136357	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2006:22:22%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/category-6.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/category-6.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:15	21544/21544	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2010:43:14%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/testimonial-author-1.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/testimonial-author-1.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:16	19098/19098	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2010:43:42%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/testimonial-author-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/testimonial-author-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:16	22528/22528	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2010:44:06%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/testimonial-author-3.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/testimonial-author-3.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:16	235354/235354	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2009:49:32%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/register_bg.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/register_bg.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:17	58957/58957	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2015:29:06%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/event-3-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/event-3-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:17	61720/61720	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2015:28:34%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/event-3-1.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/event-3-1.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:18	257622/257622	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2015:32:14%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/event_bg.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/event_bg.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:19	46547/46547	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2005:01:28%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/event-3-3.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/event-3-3.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:20	16676/16676	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202020%2013:44:17%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/js/ajax-contact.js	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/js/ajax-contact.js	(from https://raistheme.com/html/edustdy/edustdy/index-3.html)
14:44:21	61276/61276	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Jan%202020%2018:32:42%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/shape/bg_shape-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/shape/bg_shape-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:22	1752/1752	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Jan%202020%2018:20:44%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-9.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-9.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:23	32315/32315	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Jan%202020%2006:04:06%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/about-7.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/about-7.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:24	416099/416099	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2005:32:00%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/hero.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/hero.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:24	3247/3247	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2006:05:22%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/p-icon-7.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/p-icon-7.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:24	2662/2662	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2006:06:28%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/p-icon-8.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/p-icon-8.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:25	7178/7178	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2006:34:36%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/signechar.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/signechar.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:25	44006/44006	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Jan%202020%2019:38:04%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/skill.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/skill.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:26	21201/21201	---M--	200	added ('OK')	image/png	date:Thu,%2009%20Jan%202020%2019:43:00%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-7.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-7.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:27	3337/3337	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jan%202020%2003:51:42%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-8.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-8.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:27	112237/112237	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jan%202020%2003:37:06%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/choose_bg-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/choose_bg-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:27	2436/2436	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jan%202020%2015:19:34%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/down.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/down.png	(from https://raistheme.com/html/edustdy/edustdy/index-4.html)
14:44:27	3880/3880	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Jan%202020%2006:54:36%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/bookmark.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/bookmark.png	(from https://raistheme.com/html/edustdy/edustdy/courses-details.html)
14:44:28	29241/29241	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Jan%202020%2006:39:46%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/courses-details.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/courses-details.jpg	(from https://raistheme.com/html/edustdy/edustdy/courses-details.html)
14:44:29	58735/58735	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Feb%202020%2004:50:10%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/blog-list-1.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/blog-list-1.jpg	(from https://raistheme.com/html/edustdy/edustdy/blog.html)
14:44:29	47750/47750	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Jan%202020%2016:15:12%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/blog-list-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/blog-list-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/blog.html)
14:44:30	16676/16676	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202020%2013:44:29%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-12.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/shape/shape-12.png	(from https://raistheme.com/html/edustdy/edustdy/contact.html)
14:44:30	50216/50216	---M--	200	added ('OK')	image/jpeg	date:Sat,%2011%20Jan%202020%2016:15:44%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/blog-list-3.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/blog-list-3.jpg	(from https://raistheme.com/html/edustdy/edustdy/blog.html)
